Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
585105,2.13200,2.13200,2.13200,1.36150,0.00000,0.88272,26.8371,1,2,0.29,0.00,0.00
585252,2.13200,2.13200,2.13200,1.36150,0.00000,0.88272,26.8383,1,2,0.29,0.00,0.00
585395,2.13212,2.13212,2.13212,1.36125,0.00000,0.88274,26.8383,1,2,0.29,0.00,0.00
585538,2.13212,2.13212,2.13212,1.36150,0.00000,0.88274,26.8383,1,2,0.29,0.00,0.00
585681,2.13212,2.13212,2.13212,1.36138,0.00000,0.88274,26.8383,1,2,0.29,0.00,0.00
585832,2.13212,2.13212,2.13212,1.36150,0.00000,0.88274,26.8383,1,2,0.29,0.00,0.00
585974,2.13212,2.13212,2.13212,1.36150,0.00000,0.88274,26.8383,1,2,0.29,0.00,0.00
586116,2.13225,2.13225,2.13225,1.36150,0.00000,0.88277,26.8383,1,2,0.29,0.00,0.00
586259,2.13225,2.13225,2.13225,1.36150,0.00000,0.88277,26.8383,1,2,0.29,0.00,0.00
586397,2.13225,2.13225,2.13225,1.36150,0.00000,0.88277,26.8383,1,2,0.29,0.00,0.00
586538,2.13225,2.13225,2.13225,1.36150,0.00000,0.88277,26.8383,1,2,0.29,0.00,0.00
586689,2.13237,2.13237,2.13237,1.36150,0.00000,0.88279,26.8383,1,2,0.29,0.00,0.00
586831,2.13237,2.13237,2.13237,1.36150,0.00000,0.88279,26.8383,1,2,0.29,0.00,0.00
586973,2.13237,2.13237,2.13237,1.36125,0.00000,0.88279,26.8394,1,2,0.29,0.00,0.00
587111,2.13237,2.13237,2.13237,1.36150,0.00000,0.88279,26.8383,1,2,0.29,0.00,0.00
587255,2.13237,2.13237,2.13237,1.36150,0.00000,0.88279,26.8394,1,2,0.29,0.00,0.00
587395,2.13237,2.13237,2.13237,1.36138,0.00000,0.88279,26.8383,1,2,0.29,0.00,0.00
587538,2.13237,2.13237,2.13237,1.36150,0.00000,0.88279,26.8383,1,2,0.29,0.00,0.00
587808,2.13250,2.13250,2.13250,1.36150,0.00000,0.88282,26.8383,1,2,0.29,0.00,0.00
588146,2.13237,2.13237,2.13237,1.36150,0.00000,0.88279,26.8394,1,2,0.29,0.00,0.00
588500,2.13250,2.13250,2.13250,1.36138,0.00000,0.88282,26.8383,1,2,0.29,0.00,0.00
588638,2.13237,2.13237,2.13237,1.36150,0.00000,0.88279,26.8394,1,2,0.29,0.00,0.00
588783,2.13250,2.13250,2.13250,1.36138,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
588922,2.13250,2.13250,2.13250,1.36150,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
589070,2.13250,2.13250,2.13250,1.36138,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
589217,2.13250,2.13250,2.13250,1.36150,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
589355,2.13250,2.13250,2.13250,1.36150,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
589493,2.13250,2.13250,2.13250,1.36150,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
589632,2.13250,2.13250,2.13250,1.36150,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
589776,2.13250,2.13250,2.13250,1.36150,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
590047,2.13250,2.13250,2.13250,1.36138,0.00000,0.88282,26.8394,1,2,0.29,0.00,0.00
