Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
438392,2.10862,2.10862,2.10862,1.36175,0.00000,0.87793,26.7882,1,0,0.13,0.00,0.00
438531,2.10862,2.10862,2.10862,1.36163,0.00000,0.87793,26.7893,1,0,0.13,0.00,0.00
438667,2.10862,2.10862,2.10862,1.36175,0.00000,0.87793,26.7893,1,0,0.13,0.00,0.00
438813,2.10875,2.10875,2.10875,1.36163,0.00000,0.87795,26.7893,1,0,0.13,0.00,0.00
438952,2.10875,2.10875,2.10875,1.36163,0.00000,0.87795,26.7893,1,0,0.13,0.00,0.00
439094,2.10875,2.10875,2.10875,1.36175,0.00000,0.87795,26.7893,1,0,0.13,0.00,0.00
439243,2.10862,2.10862,2.10862,1.36163,0.00000,0.87793,26.7893,1,0,0.13,0.00,0.00
439378,2.10875,2.10875,2.10875,1.36163,0.00000,0.87795,26.7893,1,0,0.13,0.00,0.00
439515,2.10875,2.10875,2.10875,1.36163,0.00000,0.87795,26.7893,1,0,0.13,0.00,0.00
439658,2.10875,2.10875,2.10875,1.36163,0.00000,0.87795,26.7893,1,0,0.13,0.00,0.00
439798,2.10887,2.10887,2.10887,1.36163,0.00000,0.87798,26.7893,1,0,0.13,0.00,0.00
439944,2.10887,2.10887,2.10887,1.36163,0.00000,0.87798,26.7904,1,0,0.13,0.00,0.00
440083,2.10887,2.10887,2.10887,1.36175,0.00000,0.87798,26.7893,1,0,0.13,0.00,0.00
440225,2.10887,2.10887,2.10887,1.36163,0.00000,0.87798,26.7893,1,0,0.13,0.00,0.00
440365,2.10900,2.10900,2.10900,1.36163,0.00000,0.87801,26.7893,1,0,0.13,0.00,0.00
440504,2.10900,2.10900,2.10900,1.36150,0.00000,0.87801,26.7904,1,0,0.13,0.00,0.00
440640,2.10887,2.10887,2.10887,1.36163,0.00000,0.87798,26.7893,1,0,0.13,0.00,0.00
440786,2.10900,2.10900,2.10900,1.36150,0.00000,0.87801,26.7904,1,0,0.13,0.00,0.00
440930,2.10900,2.10900,2.10900,1.36175,0.00000,0.87801,26.7904,1,0,0.13,0.00,0.00
441067,2.10887,2.10887,2.10887,1.36163,0.00000,0.87798,26.7904,1,0,0.13,0.00,0.00
441216,2.10900,2.10900,2.10900,1.36163,0.00000,0.87801,26.7904,1,0,0.13,0.00,0.00
441351,2.10900,2.10900,2.10900,1.36163,0.00000,0.87801,26.7893,1,0,0.13,0.00,0.00
441488,2.10900,2.10900,2.10900,1.36163,0.00000,0.87801,26.7904,1,0,0.13,0.00,0.00
441631,2.10900,2.10900,2.10900,1.36163,0.00000,0.87801,26.7904,1,0,0.13,0.00,0.00
441777,2.10900,2.10900,2.10900,1.36163,0.00000,0.87801,26.7904,1,0,0.13,0.00,0.00
441917,2.10912,2.10912,2.10912,1.36163,0.00000,0.87803,26.7904,1,0,0.13,0.00,0.00
442056,2.10912,2.10912,2.10912,1.36163,0.00000,0.87803,26.7904,1,0,0.13,0.00,0.00
442198,2.10912,2.10912,2.10912,1.36150,0.00000,0.87803,26.7904,1,0,0.13,0.00,0.00
442338,2.10912,2.10912,2.10912,1.36163,0.00000,0.87803,26.7904,1,0,0.13,0.00,0.00
442477,2.10912,2.10912,2.10912,1.36163,0.00000,0.87803,26.7904,1,0,0.13,0.00,0.00
442628,2.10175,2.10175,2.10175,1.36175,0.00000,0.87651,26.7904,1,1,0.00,0.37,0.00
442777,2.08413,2.08413,2.08413,1.36163,0.00000,0.87285,26.7916,1,1,0.00,0.37,0.00
442912,2.08162,2.08162,2.08162,1.36150,0.00000,0.87233,26.7904,1,1,0.00,0.37,0.00
443049,2.08100,2.08100,2.08100,1.36175,0.00000,0.87220,26.7904,1,1,0.00,0.37,0.00
443197,2.08088,2.08088,2.08088,1.36163,0.00000,0.87218,26.7904,1,1,0.00,0.37,0.00
