Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
740966,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8815,1,4,0.13,0.00,0.00
741109,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8815,1,4,0.13,0.00,0.00
741253,2.10650,2.10650,2.10650,1.36138,0.00000,0.87749,26.8815,1,4,0.13,0.00,0.00
741395,2.10650,2.10650,2.10650,1.36125,0.00000,0.87749,26.8815,1,4,0.13,0.00,0.00
741538,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8815,1,4,0.13,0.00,0.00
741681,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8827,1,4,0.13,0.00,0.00
741824,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8827,1,4,0.13,0.00,0.00
741966,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8815,1,4,0.13,0.00,0.00
742109,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8815,1,4,0.13,0.00,0.00
742255,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8815,1,4,0.13,0.00,0.00
742396,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8815,1,4,0.13,0.00,0.00
742539,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8815,1,4,0.13,0.00,0.00
742680,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8827,1,4,0.13,0.00,0.00
742824,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8827,1,4,0.13,0.00,0.00
742966,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8815,1,4,0.13,0.00,0.00
743109,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8827,1,4,0.13,0.00,0.00
743256,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8815,1,4,0.13,0.00,0.00
743422,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
743559,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
743703,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
743841,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
743982,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
744123,2.10675,2.10675,2.10675,1.36112,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
744271,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8827,1,4,0.13,0.00,0.00
744408,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
744546,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
744690,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
744831,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
744972,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8827,1,4,0.13,0.00,0.00
745115,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8827,1,4,0.13,0.00,0.00
745258,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
745396,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8827,1,4,0.13,0.00,0.00
745538,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
745680,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
745827,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
745966,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
746109,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8827,1,4,0.13,0.00,0.00
746253,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
746395,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8827,1,4,0.13,0.00,0.00
746538,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
746680,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
746823,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
746966,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
747109,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
747259,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
747400,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
747541,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
747680,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8827,1,4,0.13,0.00,0.00
747829,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
747967,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
748109,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8827,1,4,0.13,0.00,0.00
748256,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
748397,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
748538,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
748681,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
748825,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
748966,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
749109,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
749256,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
749395,2.10675,2.10675,2.10675,1.36112,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
749538,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
749680,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
749824,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
749966,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
750109,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
750252,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
750395,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
750538,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
750680,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
750827,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
750968,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
751109,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
751252,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
751396,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
751538,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
751680,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8838,1,4,0.13,0.00,0.00
751827,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8850,1,4,0.13,0.00,0.00
751966,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8850,1,4,0.13,0.00,0.00
752230,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
752375,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8850,1,4,0.13,0.00,0.00
752517,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
752659,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8838,1,4,0.13,0.00,0.00
752802,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8850,1,4,0.13,0.00,0.00
752940,2.10687,2.10687,2.10687,1.36138,0.00000,0.87757,26.8850,1,4,0.13,0.00,0.00
753079,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
753230,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
753372,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8850,1,4,0.13,0.00,0.00
753514,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
753652,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
753796,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
753936,2.10687,2.10687,2.10687,1.36125,0.00000,0.87757,26.8850,1,4,0.13,0.00,0.00
754081,2.10675,2.10675,2.10675,1.36150,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
754228,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
754370,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
754508,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
754646,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
754791,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
754936,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
755078,2.10675,2.10675,2.10675,1.36112,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
755225,2.10675,2.10675,2.10675,1.36112,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
755363,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
755501,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
755640,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
755790,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
755932,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
756074,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
756217,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8850,1,4,0.13,0.00,0.00
756355,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8850,1,4,0.13,0.00,0.00
756494,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
756633,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
756903,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8861,1,4,0.13,0.00,0.00
757247,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8861,1,4,0.13,0.00,0.00
757598,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8850,1,4,0.13,0.00,0.00
757741,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
757880,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8861,1,4,0.13,0.00,0.00
758042,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
758195,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
758336,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
758473,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
758611,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
758755,2.10663,2.10663,2.10663,1.36100,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
758894,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
759041,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
759188,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
759326,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
759464,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
759603,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
759747,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8861,1,4,0.13,0.00,0.00
759894,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
760035,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
760172,2.10675,2.10675,2.10675,1.36138,0.00000,0.87754,26.8872,1,4,0.13,0.00,0.00
760315,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
760454,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
760593,2.10663,2.10663,2.10663,1.36138,0.00000,0.87752,26.8861,1,4,0.13,0.00,0.00
760746,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
760888,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
761025,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
761163,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
761307,2.10675,2.10675,2.10675,1.36100,0.00000,0.87754,26.8872,1,4,0.13,0.00,0.00
761446,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8872,1,4,0.13,0.00,0.00
761593,2.10663,2.10663,2.10663,1.36125,0.00000,0.87752,26.8872,1,4,0.13,0.00,0.00
761740,2.10675,2.10675,2.10675,1.36125,0.00000,0.87754,26.8872,1,4,0.13,0.00,0.00
