Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
292004,2.07862,2.07862,2.07862,1.36187,0.00000,0.87171,26.7346,1,3,0.00,0.17,0.00
292151,2.07700,2.07700,2.07700,1.36187,0.00000,0.87137,26.7346,1,4,0.13,0.00,0.00
292298,2.08225,2.08225,2.08225,1.36187,0.00000,0.87246,26.7346,1,4,0.13,0.00,0.00
292439,2.08612,2.08612,2.08612,1.36187,0.00000,0.87327,26.7358,1,4,0.13,0.00,0.00
292577,2.08888,2.08888,2.08888,1.36175,0.00000,0.87384,26.7346,1,4,0.13,0.00,0.00
292733,2.09150,2.09150,2.09150,1.36187,0.00000,0.87439,26.7346,1,4,0.13,0.00,0.00
292869,2.09325,2.09325,2.09325,1.36187,0.00000,0.87475,26.7346,1,4,0.13,0.00,0.00
293008,2.09487,2.09487,2.09487,1.36187,0.00000,0.87509,26.7358,1,4,0.13,0.00,0.00
293153,2.09613,2.09613,2.09613,1.36187,0.00000,0.87535,26.7346,1,4,0.13,0.00,0.00
293295,2.09725,2.09725,2.09725,1.36187,0.00000,0.87558,26.7346,1,4,0.13,0.00,0.00
293434,2.09812,2.09812,2.09812,1.36200,0.00000,0.87576,26.7358,1,4,0.13,0.00,0.00
293583,2.09900,2.09900,2.09900,1.36200,0.00000,0.87594,26.7346,1,4,0.13,0.00,0.00
293726,2.09987,2.09987,2.09987,1.36187,0.00000,0.87612,26.7346,1,4,0.13,0.00,0.00
293868,2.10050,2.10050,2.10050,1.36175,0.00000,0.87625,26.7346,1,4,0.13,0.00,0.00
294009,2.10112,2.10112,2.10112,1.36200,0.00000,0.87638,26.7346,1,4,0.13,0.00,0.00
294147,2.10162,2.10162,2.10162,1.36175,0.00000,0.87648,26.7358,1,4,0.13,0.00,0.00
294294,2.10212,2.10212,2.10212,1.36187,0.00000,0.87659,26.7358,1,4,0.13,0.00,0.00
294435,2.10237,2.10237,2.10237,1.36175,0.00000,0.87664,26.7358,1,4,0.13,0.00,0.00
294579,2.10287,2.10287,2.10287,1.36187,0.00000,0.87674,26.7358,1,4,0.13,0.00,0.00
294729,2.10312,2.10312,2.10312,1.36187,0.00000,0.87679,26.7358,1,4,0.13,0.00,0.00
294865,2.10350,2.10350,2.10350,1.36187,0.00000,0.87687,26.7358,1,4,0.13,0.00,0.00
295004,2.10375,2.10375,2.10375,1.36187,0.00000,0.87692,26.7358,1,4,0.13,0.00,0.00
295149,2.10413,2.10413,2.10413,1.36187,0.00000,0.87700,26.7358,1,4,0.13,0.00,0.00
295291,2.10425,2.10425,2.10425,1.36175,0.00000,0.87703,26.7346,1,4,0.13,0.00,0.00
295439,2.10437,2.10437,2.10437,1.36175,0.00000,0.87705,26.7358,1,4,0.13,0.00,0.00
295579,2.10462,2.10462,2.10462,1.36200,0.00000,0.87710,26.7358,1,4,0.13,0.00,0.00
295722,2.10487,2.10487,2.10487,1.36175,0.00000,0.87716,26.7358,1,4,0.13,0.00,0.00
295864,2.10512,2.10512,2.10512,1.36187,0.00000,0.87721,26.7358,1,4,0.13,0.00,0.00
296005,2.10525,2.10525,2.10525,1.36187,0.00000,0.87723,26.7358,1,4,0.13,0.00,0.00
296143,2.10537,2.10537,2.10537,1.36187,0.00000,0.87726,26.7358,1,4,0.13,0.00,0.00
