Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
145153,2.11637,2.11637,2.11637,1.36200,0.00000,0.87952,26.6754,1,2,0.29,0.00,0.00
145296,2.11637,2.11637,2.11637,1.36213,0.00000,0.87952,26.6754,1,2,0.29,0.00,0.00
145439,2.11637,2.11637,2.11637,1.36213,0.00000,0.87952,26.6743,1,2,0.29,0.00,0.00
145574,2.11637,2.11637,2.11637,1.36213,0.00000,0.87952,26.6743,1,2,0.29,0.00,0.00
145717,2.11637,2.11637,2.11637,1.36213,0.00000,0.87952,26.6754,1,2,0.29,0.00,0.00
145865,2.11650,2.11650,2.11650,1.36213,0.00000,0.87955,26.6754,1,2,0.29,0.00,0.00
146001,2.11650,2.11650,2.11650,1.36213,0.00000,0.87955,26.6754,1,2,0.29,0.00,0.00
146141,2.11650,2.11650,2.11650,1.36200,0.00000,0.87955,26.6754,1,2,0.29,0.00,0.00
146286,2.11650,2.11650,2.11650,1.36213,0.00000,0.87955,26.6754,1,2,0.29,0.00,0.00
146423,2.11662,2.11662,2.11662,1.36213,0.00000,0.87957,26.6754,1,2,0.29,0.00,0.00
146563,2.11650,2.11650,2.11650,1.36200,0.00000,0.87955,26.6754,1,2,0.29,0.00,0.00
146713,2.11650,2.11650,2.11650,1.36213,0.00000,0.87955,26.6754,1,2,0.29,0.00,0.00
146851,2.11650,2.11650,2.11650,1.36213,0.00000,0.87955,26.6754,1,2,0.29,0.00,0.00
146994,2.11662,2.11662,2.11662,1.36213,0.00000,0.87957,26.6754,1,2,0.29,0.00,0.00
147129,2.11662,2.11662,2.11662,1.36225,0.00000,0.87957,26.6754,1,2,0.29,0.00,0.00
147272,2.11662,2.11662,2.11662,1.36213,0.00000,0.87957,26.6754,1,2,0.29,0.00,0.00
147415,2.11662,2.11662,2.11662,1.36213,0.00000,0.87957,26.6754,1,2,0.29,0.00,0.00
147550,2.11662,2.11662,2.11662,1.36225,0.00000,0.87957,26.6754,1,2,0.29,0.00,0.00
147702,2.11675,2.11675,2.11675,1.36213,0.00000,0.87960,26.6754,1,2,0.29,0.00,0.00
147841,2.11675,2.11675,2.11675,1.36213,0.00000,0.87960,26.6754,1,2,0.29,0.00,0.00
147978,2.11675,2.11675,2.11675,1.36213,0.00000,0.87960,26.6754,1,2,0.29,0.00,0.00
148118,2.11675,2.11675,2.11675,1.36213,0.00000,0.87960,26.6754,1,2,0.29,0.00,0.00
148263,2.11675,2.11675,2.11675,1.36213,0.00000,0.87960,26.6765,1,2,0.29,0.00,0.00
148400,2.11675,2.11675,2.11675,1.36213,0.00000,0.87960,26.6754,1,2,0.29,0.00,0.00
148549,2.11687,2.11687,2.11687,1.36213,0.00000,0.87962,26.6765,1,2,0.29,0.00,0.00
148690,2.11687,2.11687,2.11687,1.36213,0.00000,0.87962,26.6765,1,2,0.29,0.00,0.00
148828,2.11687,2.11687,2.11687,1.36213,0.00000,0.87962,26.6754,1,2,0.29,0.00,0.00
148971,2.11687,2.11687,2.11687,1.36225,0.00000,0.87962,26.6765,1,2,0.29,0.00,0.00
149110,2.11700,2.11700,2.11700,1.36213,0.00000,0.87965,26.6765,1,2,0.29,0.00,0.00
149253,2.11687,2.11687,2.11687,1.36213,0.00000,0.87962,26.6765,1,2,0.29,0.00,0.00
149401,2.11687,2.11687,2.11687,1.36213,0.00000,0.87962,26.6765,1,2,0.29,0.00,0.00
149538,2.11700,2.11700,2.11700,1.36213,0.00000,0.87965,26.6765,1,2,0.29,0.00,0.00
149681,2.11700,2.11700,2.11700,1.36213,0.00000,0.87965,26.6765,1,2,0.29,0.00,0.00
149956,2.11700,2.11700,2.11700,1.36213,0.00000,0.87965,26.6777,1,2,0.29,0.00,0.00
150093,2.11712,2.11712,2.11712,1.36213,0.00000,0.87968,26.6765,1,2,0.29,0.00,0.00
150235,2.11712,2.11712,2.11712,1.36213,0.00000,0.87968,26.6777,1,2,0.29,0.00,0.00
150385,2.11700,2.11700,2.11700,1.36213,0.00000,0.87965,26.6765,1,2,0.29,0.00,0.00
150520,2.11712,2.11712,2.11712,1.36213,0.00000,0.87968,26.6777,1,2,0.29,0.00,0.00
150658,2.11712,2.11712,2.11712,1.36213,0.00000,0.87968,26.6765,1,2,0.29,0.00,0.00
150807,2.11712,2.11712,2.11712,1.36213,0.00000,0.87968,26.6777,1,2,0.29,0.00,0.00
150942,2.11712,2.11712,2.11712,1.36200,0.00000,0.87968,26.6777,1,2,0.29,0.00,0.00
151080,2.11712,2.11712,2.11712,1.36200,0.00000,0.87968,26.6777,1,2,0.29,0.00,0.00
151234,2.11725,2.11725,2.11725,1.36213,0.00000,0.87970,26.6777,1,2,0.29,0.00,0.00
151371,2.11725,2.11725,2.11725,1.36213,0.00000,0.87970,26.6777,1,2,0.29,0.00,0.00
151521,2.11375,2.11375,2.11375,1.36213,0.00000,0.87898,26.6788,1,3,0.00,0.17,0.00
151661,2.08687,2.08687,2.08687,1.36213,0.00000,0.87343,26.6777,1,3,0.00,0.17,0.00
151803,2.08088,2.08088,2.08088,1.36213,0.00000,0.87218,26.6777,1,3,0.00,0.17,0.00
151944,2.07850,2.07850,2.07850,1.36213,0.00000,0.87168,26.6788,1,3,0.00,0.17,0.00
152083,2.07725,2.07725,2.07725,1.36213,0.00000,0.87142,26.6788,1,3,0.00,0.17,0.00
152223,2.07662,2.07662,2.07662,1.36213,0.00000,0.87129,26.6777,1,3,0.00,0.17,0.00
152364,2.07613,2.07613,2.07613,1.36213,0.00000,0.87118,26.6777,1,3,0.00,0.17,0.00
152504,2.07587,2.07587,2.07587,1.36213,0.00000,0.87113,26.6777,1,3,0.00,0.17,0.00
152641,2.07575,2.07575,2.07575,1.36213,0.00000,0.87110,26.6788,1,3,0.00,0.17,0.00
152787,2.07562,2.07562,2.07562,1.36200,0.00000,0.87108,26.6788,1,3,0.00,0.17,0.00
152927,2.07550,2.07550,2.07550,1.36213,0.00000,0.87105,26.6800,1,3,0.00,0.17,0.00
