Time[ms],Vup[V],Vdwn[V],Vdiode[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],LoopCount[],Vfb_x[V],Vfb_y[V],Vfb_z[V]
8898,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6310,1,1,0.00,0.37,0.00
9020,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6298,1,1,0.00,0.37,0.00
9145,2.06925,2.06925,2.06925,1.36225,0.00000,0.86974,26.6321,1,1,0.00,0.37,0.00
9281,2.06925,2.06925,2.06925,1.36225,0.00000,0.86974,26.6321,1,1,0.00,0.37,0.00
9403,2.06925,2.06925,2.06925,1.36225,0.00000,0.86974,26.6298,1,1,0.00,0.37,0.00
9538,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6321,1,1,0.00,0.37,0.00
9681,2.06925,2.06925,2.06925,1.36238,0.00000,0.86974,26.6310,1,1,0.00,0.37,0.00
9824,2.06912,2.06912,2.06912,1.36225,0.00000,0.86972,26.6310,1,1,0.00,0.37,0.00
9967,2.06912,2.06912,2.06912,1.36225,0.00000,0.86972,26.6310,1,1,0.00,0.37,0.00
10110,2.06912,2.06912,2.06912,1.36225,0.00000,0.86972,26.6298,1,1,0.00,0.37,0.00
10253,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6321,1,1,0.00,0.37,0.00
10395,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6333,1,1,0.00,0.37,0.00
10538,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6310,1,1,0.00,0.37,0.00
10681,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6310,1,1,0.00,0.37,0.00
10824,2.06900,2.06900,2.06900,1.36225,0.00000,0.86969,26.6321,1,1,0.00,0.36,0.00
10967,2.06900,2.06900,2.06900,1.36238,0.00000,0.86969,26.6321,1,1,0.00,0.36,0.00
11110,2.06900,2.06900,2.06900,1.36238,0.00000,0.86969,26.6321,1,1,0.00,0.37,0.00
11253,2.06900,2.06900,2.06900,1.36225,0.00000,0.86969,26.6310,1,1,0.00,0.37,0.00
11395,2.06900,2.06900,2.06900,1.36225,0.00000,0.86969,26.6333,1,1,0.00,0.37,0.00
11538,2.06900,2.06900,2.06900,1.36238,0.00000,0.86969,26.6321,1,1,0.00,0.36,0.00
11681,2.06888,2.06888,2.06888,1.36238,0.00000,0.86966,26.6321,1,1,0.00,0.37,0.00
11824,2.06900,2.06900,2.06900,1.36225,0.00000,0.86969,26.6321,1,1,0.00,0.37,0.00
11967,2.06888,2.06888,2.06888,1.36238,0.00000,0.86966,26.6310,1,1,0.00,0.37,0.00
12110,2.06900,2.06900,2.06900,1.36238,0.00000,0.86969,26.6321,1,1,0.00,0.37,0.00
12253,2.06900,2.06900,2.06900,1.36238,0.00000,0.86969,26.6333,1,1,0.00,0.37,0.00
12395,2.06900,2.06900,2.06900,1.36238,0.00000,0.86969,26.6321,1,1,0.00,0.37,0.00
12538,2.06900,2.06900,2.06900,1.36238,0.00000,0.86969,26.6310,1,1,0.00,0.37,0.00
12681,2.06900,2.06900,2.06900,1.36225,0.00000,0.86969,26.6321,1,1,0.00,0.36,0.00
12824,2.06900,2.06900,2.06900,1.36238,0.00000,0.86969,26.6321,1,1,0.00,0.37,0.00
12967,2.06888,2.06888,2.06888,1.36225,0.00000,0.86966,26.6321,1,1,0.00,0.37,0.00
13110,2.06900,2.06900,2.06900,1.36225,0.00000,0.86969,26.6321,1,1,0.00,0.36,0.00
13253,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6333,1,1,0.00,0.37,0.00
13395,2.06912,2.06912,2.06912,1.36225,0.00000,0.86972,26.6333,1,1,0.00,0.37,0.00
13538,2.06912,2.06912,2.06912,1.36238,0.00000,0.86972,26.6333,1,1,0.00,0.37,0.00
13681,2.06925,2.06925,2.06925,1.36238,0.00000,0.86974,26.6333,1,1,0.00,0.37,0.00
