Time[ms],Vup[V],Vdwn[V],Vav[V],Vled[V],Vscat[V],OD[],Temp[C],Color[],Output[],Vref=0.31004,extrapar=0.40000,Prg=17
36,0.33122,0.29894,0.31508,0.20534,0.00444,-0.00700,25.7583,2,0
353,0.33100,0.29875,0.31488,0.20534,0.00441,-0.00672,25.7583,2,0
583,0.33091,0.29863,0.31477,0.20534,0.00444,-0.00657,25.6851,2,0
898,0.33100,0.29875,0.31488,0.20534,0.00441,-0.00672,25.7583,2,0
1213,0.33103,0.29878,0.31491,0.20534,0.00444,-0.00677,25.7583,2,0
1444,0.33103,0.29869,0.31486,0.20534,0.00444,-0.00670,25.7583,2,0
1764,0.33106,0.29878,0.31492,0.20534,0.00444,-0.00679,25.7583,2,0
1995,0.33106,0.29884,0.31495,0.20538,0.00441,-0.00683,25.7583,2,0
2312,0.33103,0.29875,0.31489,0.20534,0.00441,-0.00675,25.7583,2,0
2542,0.33100,0.29875,0.31488,0.20538,0.00444,-0.00672,25.7583,2,0
2859,0.33106,0.29884,0.31495,0.20534,0.00444,-0.00683,25.6851,2,0
3089,0.33109,0.29884,0.31497,0.20538,0.00441,-0.00685,25.6851,2,0
3404,0.33109,0.29881,0.31495,0.20538,0.00444,-0.00683,25.8315,2,0
3721,0.33109,0.29891,0.31500,0.20538,0.00444,-0.00690,25.7583,2,0
3956,0.33109,0.29881,0.31495,0.20538,0.00447,-0.00683,25.7583,2,0
4273,0.33113,0.29891,0.31502,0.20538,0.00441,-0.00692,25.8315,2,0
4503,0.33116,0.29888,0.31502,0.20538,0.00444,-0.00692,25.7583,2,0
4821,0.33109,0.29888,0.31498,0.20534,0.00441,-0.00687,25.6851,2,0
5052,0.33119,0.29888,0.31503,0.20538,0.00441,-0.00694,25.6851,2,0
5368,0.33109,0.29884,0.31497,0.20538,0.00444,-0.00685,25.7583,2,0
5599,0.33109,0.29888,0.31498,0.20538,0.00441,-0.00687,25.6851,2,0
5915,0.33119,0.29891,0.31505,0.20538,0.00444,-0.00696,25.7583,2,0
6237,0.33113,0.29881,0.31497,0.20538,0.00444,-0.00685,25.7583,2,0
6468,0.33109,0.29884,0.31497,0.20541,0.00444,-0.00685,25.6851,2,0
6782,0.33116,0.29891,0.31503,0.20534,0.00441,-0.00694,25.7583,2,0
7014,0.33116,0.29884,0.31500,0.20541,0.00444,-0.00690,25.7583,2,0
7330,0.33119,0.29894,0.31506,0.20538,0.00441,-0.00698,25.7583,2,0
7562,0.33119,0.29894,0.31506,0.20538,0.00444,-0.00698,25.7583,2,0
7879,0.33122,0.29891,0.31506,0.20541,0.00441,-0.00698,25.7583,2,0
8200,0.33122,0.29891,0.31506,0.20538,0.00441,-0.00698,25.7583,2,0
8430,0.33109,0.29884,0.31497,0.20538,0.00444,-0.00685,25.7583,2,0
8747,0.33119,0.29891,0.31505,0.20538,0.00444,-0.00696,25.6851,2,0
8977,0.33116,0.29888,0.31502,0.20538,0.00441,-0.00692,25.8315,2,0
9294,0.33119,0.29891,0.31505,0.20538,0.00441,-0.00696,25.6851,2,0
9526,0.33122,0.29894,0.31508,0.20538,0.00441,-0.00700,25.7583,2,0
9843,0.33113,0.29881,0.31497,0.20538,0.00441,-0.00685,25.7583,2,0
10074,0.33122,0.29891,0.31506,0.20534,0.00441,-0.00698,25.7583,2,0
10395,0.33122,0.29894,0.31508,0.20538,0.00444,-0.00700,25.7583,2,0
10713,0.33122,0.29888,0.31505,0.20541,0.00444,-0.00696,25.7583,2,0
10944,0.33119,0.29884,0.31502,0.20538,0.00444,-0.00692,25.6851,2,0
11260,0.33122,0.29894,0.31508,0.20541,0.00441,-0.00700,25.7583,2,0
11492,0.33122,0.29888,0.31505,0.20541,0.00444,-0.00696,25.7583,2,0
11807,0.33113,0.29884,0.31498,0.20541,0.00444,-0.00687,25.7583,2,0
12039,0.33119,0.29894,0.31506,0.20541,0.00441,-0.00698,25.8315,2,0
12354,0.33122,0.29891,0.31506,0.20541,0.00441,-0.00698,25.6851,2,0
12591,0.33113,0.29884,0.31498,0.20541,0.00441,-0.00687,25.7583,2,0
12905,0.33122,0.29897,0.31509,0.20538,0.00444,-0.00703,25.7583,2,0
13221,0.33113,0.29884,0.31498,0.20541,0.00444,-0.00687,25.6851,2,0
13453,0.33122,0.29894,0.31508,0.20538,0.00441,-0.00700,25.6851,2,0
13770,0.33122,0.29894,0.31508,0.20541,0.00444,-0.00700,25.7583,2,0
14001,0.33119,0.29894,0.31506,0.20538,0.00444,-0.00698,25.7583,2,0
14318,0.33113,0.29891,0.31502,0.20541,0.00444,-0.00692,25.7583,2,0
14554,0.33122,0.29891,0.31506,0.20541,0.00444,-0.00698,25.7583,2,0
14870,0.33116,0.29891,0.31503,0.20538,0.00444,-0.00694,25.7583,2,0
15100,0.33116,0.29894,0.31505,0.20541,0.00441,-0.00696,25.6851,2,0
15417,0.33109,0.29884,0.31497,0.20538,0.00444,-0.00685,25.6851,2,0
15733,0.33119,0.29884,0.31502,0.20541,0.00441,-0.00692,25.7583,2,0
15964,0.33113,0.29884,0.31498,0.20538,0.00444,-0.00687,25.7583,2,0
16279,0.33116,0.29891,0.31503,0.20541,0.00444,-0.00694,25.7583,2,0
16510,0.33113,0.29881,0.31497,0.20541,0.00441,-0.00685,25.8315,2,0
16830,0.33116,0.29891,0.31503,0.20541,0.00444,-0.00694,25.7583,2,0
17060,0.33116,0.29894,0.31505,0.20541,0.00444,-0.00696,25.7583,2,0
17377,0.33116,0.29881,0.31498,0.20541,0.00444,-0.00687,25.7583,2,0
