2021-07-21 17:41:15:656296, 1.663419, 0.00246, 0.00033, 0.00026
2021-07-21 17:41:16:296024, 2.007204, 0.00346, 0.00048, 0.00017
2021-07-21 17:41:16:935727, 2.212901, 0.00315, 0.00056, 0.00029
2021-07-21 17:41:17:575845, 2.211714, 0.00323, 0.00047, 0.00015
2021-07-21 17:41:18:216028, 2.21061, 0.0033, 0.00041, 0.00024
2021-07-21 17:41:18:855943, 2.20888, 0.00306, 0.00048, 0.00031
2021-07-21 17:41:19:505836, 2.206596, 0.00325, 0.00052, 0.00029
2021-07-21 17:41:20:145540, 2.204438, 0.00323, 0.00065, 0.00022
2021-07-21 17:41:20:785650, 2.202913, 0.00322, 0.00075, 0.00022
2021-07-21 17:41:21:425487, 2.767344, 0.00409, 0.00079, 0.00017
2021-07-21 17:41:22:065450, 2.784016, 0.00417, 0.00047, 0.00029
2021-07-21 17:41:22:705018, 2.780084, 0.00405, 0.00039, 0.00029
2021-07-21 17:41:23:354771, 2.776079, 0.00426, 0.00065, 0.00024
2021-07-21 17:41:23:994882, 2.774239, 0.00421, 0.00067, 0.00041
2021-07-21 17:41:24:635466, 2.771741, 0.00419, 0.00058, 0.00027
2021-07-21 17:41:25:274859, 2.768713, 0.00416, 0.00054, 0.00019
2021-07-21 17:41:26:554582, -2.753815, -0.00413, -0.00053, 0.00013
2021-07-21 17:41:27:194625, -2.754635, -0.00394, -0.00057, -4e-05
2021-07-21 17:41:27:844329, -2.750581, -0.00388, -0.00059, 0.0002
2021-07-21 17:41:28:484373, -2.746632, -0.00404, -0.00057, -9e-05
2021-07-21 17:41:29:124209, -2.744473, -0.00378, -0.00053, 0.00015
2021-07-21 17:41:29:764328, -2.740352, -0.00394, -0.00068, 0.00033
2021-07-21 17:41:30:404028, -2.735562, -0.00394, -0.00076, 0.00029
2021-07-21 17:41:31:043719, -2.730912, -0.003, -0.00038, -0.0
2021-07-21 17:41:31:693644, -2.161078, -0.00284, -0.00053, -9e-05
2021-07-21 17:41:32:333904, -2.159271, -0.00321, -0.0006, -2e-05
2021-07-21 17:41:32:973520, -2.157657, -0.00303, -0.00042, -4e-05
2021-07-21 17:41:33:613825, -2.155966, -0.00307, -0.00044, 0.00017
2021-07-21 17:41:34:253638, -2.155234, -0.00293, -0.00034, 0.00022
2021-07-21 17:41:34:893489, -2.153785, -0.00298, -0.00044, 0.00024
2021-07-21 17:41:35:532989, -2.15217, -0.00298, -0.00055, 0.00026
2021-07-21 17:41:36:183163, -2.055817, -0.00231, -0.0004, -4e-05
2021-07-21 17:41:36:822956, -1.613961, -0.00209, -0.00042, -4e-05
2021-07-21 17:41:37:463381, -1.613483, -0.00233, -0.00038, 0.00013
2021-07-21 17:41:38:102915, -1.61319, -0.00226, -0.0003, 0.00015
2021-07-21 17:41:38:742651, -1.612818, -0.00212, -0.00038, 0.00027
2021-07-21 17:41:39:382935, -1.612639, -0.00228, -0.00042, 0.00019
2021-07-21 17:41:40:032720, -1.612124, -0.00235, -0.00042, 0.00012
2021-07-21 17:41:40:672496, -1.609837, -0.00224, -0.00042, 0.0002
2021-07-21 17:41:41:312494, -1.30603, -0.00152, -0.00028, 0.00013
