# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
4236125,0,,,,25.7901,,,,1
4236253,0,,,2.7139,,,,,1
4236381,0,0.6779,,,,,,,1
4236509,0,,,2.7143,,,,,1
4236659,0,,,,,-0.0412,,,1
4236810,0,,,,,,,0.4772,1
4236961,0,,,,,,0.0430,,1
4237112,0,,,,25.7901,,,,1
4237240,0,0.6779,,,,,,,1
4237368,0,,,2.7143,,,,,1
4237496,0,0.6779,,,,,,,1
4237646,0,,,,,-0.0412,,,1
4237797,0,,,,,,,0.4772,1
4237948,0,,,,,,0.0430,,1
4238099,0,,,,25.7901,,,,1
4238227,0,,,2.7141,,,,,1
4238355,0,0.6779,,,,,,,1
4238483,0,,,2.7140,,,,,1
4238633,0,,,,,-0.0412,,,1
4238784,0,,,,,,,0.4772,1
4238935,0,,,,,,0.0430,,1
4239086,0,,,,25.7901,,,,1
4239214,0,0.6779,,,,,,,1
4239342,0,,,2.7141,,,,,1
4239470,0,0.6779,,,,,,,1
4239620,0,,,,,-0.0412,,,1
4239771,0,,,,,,,0.4772,1
4239922,0,,,,,,0.0430,,1
4240073,0,,,,25.7901,,,,1
4240201,0,,,2.7143,,,,,1
4240329,0,0.6779,,,,,,,1
4240457,0,,,2.7140,,,,,1
4240607,0,,,,,-0.0412,,,1
4240758,0,,,,,,,0.4772,1
4240909,0,,,,,,0.0430,,1
4241060,0,,,,25.7901,,,,1
4241188,0,0.6779,,,,,,,1
4241316,0,,,2.7143,,,,,1
4241444,0,0.6779,,,,,,,1
4241594,0,,,,,-0.0412,,,1
4241745,0,,,,,,,0.4772,1
4241896,0,,,,,,0.0430,,1
4242047,0,,,,25.7901,,,,1
4242175,0,,,2.7144,,,,,1
4242303,0,0.6779,,,,,,,1
4242431,0,,,2.7141,,,,,1
4242559,0,0.6779,,,,,,,1
4242709,0,,,,,-0.0412,,,1
4242860,0,,,,,,,0.4772,1
4243011,0,,,,,,0.0430,,1
4243162,0,,,,25.7901,,,,1
4243290,0,,,2.7144,,,,,1
4243418,0,0.6779,,,,,,,1
4243546,0,,,2.7141,,,,,1
4243696,0,,,,,-0.0412,,,1
4243847,0,,,,,,,0.4772,1
4243998,0,,,,,,0.0430,,1
4244149,0,,,,25.7901,,,,1
4244277,0,0.6779,,,,,,,1
4244405,0,,,2.7143,,,,,1
4244533,0,0.6779,,,,,,,1
4244683,0,,,,,-0.0412,,,1
4244834,0,,,,,,,0.4772,1
4244985,0,,,,,,0.0430,,1
4245136,0,,,,25.7901,,,,1
4245264,0,,,2.7144,,,,,1
4245392,0,0.6779,,,,,,,1
4245520,0,,,2.7143,,,,,1
4245670,0,,,,,-0.0412,,,1
4245821,0,,,,,,,0.4772,1
4245972,0,,,,,,0.0430,,1
4246123,0,,,,25.7901,,,,1
4246251,0,0.6779,,,,,,,1
4246379,0,,,2.7143,,,,,1
4246507,0,0.6779,,,,,,,1
4246657,0,,,,,-0.0412,,,1
4246808,0,,,,,,,0.4772,1
4246959,0,,,,,,0.0430,,1
4247110,0,,,,25.7901,,,,1
4247238,0,,,2.7144,,,,,1
4247366,0,0.6779,,,,,,,1
4247494,0,,,2.7144,,,,,1
4247644,0,,,,,-0.0412,,,1
4247795,0,,,,,,,0.4772,1
4247946,0,,,,,,0.0430,,1
4248097,0,,,,25.7901,,,,1
4248225,0,0.6779,,,,,,,1
4248353,0,,,2.7144,,,,,1
4248481,0,0.6779,,,,,,,1
4248631,0,,,,,-0.0412,,,1
4248782,0,,,,,,,0.4772,1
4248933,0,,,,,,0.0430,,1
4249084,0,,,,25.7901,,,,1
4249212,0,,,2.7145,,,,,1
4249340,0,0.6779,,,,,,,1
4249468,0,,,2.7144,,,,,1
4249618,0,,,,,-0.0412,,,1
4249769,0,,,,,,,0.4772,1
4249920,0,,,,,,0.0430,,1
4250071,0,,,,25.7901,,,,1
4250199,0,0.6779,,,,,,,1
4250327,0,,,2.7144,,,,,1
4250455,0,0.6779,,,,,,,1
4250605,0,,,,,-0.0412,,,1
4250756,0,,,,,,,0.4772,1
4250907,0,,,,,,0.0430,,1
4251058,0,,,,25.7901,,,,1
4251186,0,,,2.7145,,,,,1
4251314,0,0.6779,,,,,,,1
4251442,0,,,2.7146,,,,,1
4251592,0,,,,,-0.0412,,,1
4251743,0,,,,,,,0.4772,1
4251894,0,,,,,,0.0430,,1
4252045,0,,,,25.7901,,,,1
4252173,0,0.6779,,,,,,,1
4252301,0,,,2.7146,,,,,1
4252429,0,0.6779,,,,,,,1
4252557,0,,,2.7145,,,,,1
4252707,0,,,,,-0.0412,,,1
4252858,0,,,,,,,0.4772,1
4253009,0,,,,,,0.0430,,1
4253160,0,,,,25.7901,,,,1
4253288,0,0.6779,,,,,,,1
4253416,0,,,2.7145,,,,,1
