# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
1715246,0,0.6775,,,,,,,1
1715374,0,,,2.7381,,,,,1
1715502,0,0.6776,,,,,,,1
1715652,0,,,,,-0.0371,,,1
1715803,0,,,,,,,0.4817,1
1715954,0,,,,,,0.0468,,1
1716105,0,,,,25.6751,,,,1
1716233,0,,,2.7387,,,,,1
1716361,0,0.6776,,,,,,,1
1716489,0,,,2.7386,,,,,1
1716640,0,,,,,-0.0371,,,1
1716791,0,,,,,,,0.4817,1
1716942,0,,,,,,0.0471,,1
1717094,0,,,,25.6751,,,,1
1717222,0,0.6776,,,,,,,1
1717350,0,,,2.7386,,,,,1
1717477,0,0.6776,,,,,,,1
1717628,0,,,,,-0.0371,,,1
1717779,0,,,,,,,0.4817,1
1717930,0,,,,,,0.0468,,1
1718081,0,,,,25.6780,,,,1
1718209,0,,,2.7390,,,,,1
1718337,0,0.6776,,,,,,,1
1718465,0,,,2.7390,,,,,1
1718615,0,,,,,-0.0371,,,1
1718766,0,,,,,,,0.4817,1
1718917,0,,,,,,0.0468,,1
1719068,0,,,,25.6780,,,,1
1719196,0,0.6776,,,,,,,1
1719324,0,,,2.7393,,,,,1
1719452,0,0.6776,,,,,,,1
1719602,0,,,,,-0.0371,,,1
1719753,0,,,,,,,0.4817,1
1719904,0,,,,,,0.0468,,1
1720055,0,,,,25.6751,,,,1
1720183,0,,,2.7396,,,,,1
1720311,0,0.6776,,,,,,,1
1720439,0,,,2.7396,,,,,1
1720589,0,,,,,-0.0371,,,1
1720740,0,,,,,,,0.4817,1
1720891,0,,,,,,0.0468,,1
1721042,0,,,,25.6780,,,,1
1721170,0,0.6776,,,,,,,1
1721298,0,,,2.7399,,,,,1
1721426,0,0.6776,,,,,,,1
1721554,0,,,2.7400,,,,,1
1721704,0,,,,,-0.0371,,,1
1721855,0,,,,,,,0.4817,1
1722006,0,,,,,,0.0468,,1
1722157,0,,,,25.6780,,,,1
1722285,0,0.6775,,,,,,,1
1722413,0,,,2.7401,,,,,1
1722542,0,0.6775,,,,,,,1
1722692,0,,,,,-0.0371,,,1
1722843,0,,,,,,,0.4817,1
1722994,0,,,,,,0.0468,,1
1723146,0,,,,25.6780,,,,1
1723274,0,,,2.7404,,,,,1
1723402,0,0.6775,,,,,,,1
1723530,0,,,2.7406,,,,,1
1723680,0,,,,,-0.0369,,,1
1723831,0,,,,,,,0.4817,1
1723982,0,,,,,,0.0471,,1
1724133,0,,,,25.6780,,,,1
1724261,0,0.6775,,,,,,,1
1724389,0,,,2.7408,,,,,1
1724517,0,0.6775,,,,,,,1
1724667,0,,,,,-0.0371,,,1
1724818,0,,,,,,,0.4817,1
1724969,0,,,,,,0.0468,,1
1725120,0,,,,25.6780,,,,1
1725248,0,,,2.7410,,,,,1
1725376,0,0.6776,,,,,,,1
1725504,0,,,2.7411,,,,,1
1725654,0,,,,,-0.0371,,,1
1725805,0,,,,,,,0.4817,1
1725956,0,,,,,,0.0468,,1
1726107,0,,,,25.6780,,,,1
1726235,0,0.6776,,,,,,,1
1726363,0,,,2.7414,,,,,1
1726491,0,0.6776,,,,,,,1
1726641,0,,,,,-0.0371,,,1
1726792,0,,,,,,,0.4817,1
1726943,0,,,,,,0.0468,,1
1727094,0,,,,25.6780,,,,1
1727222,0,,,2.7415,,,,,1
1727350,0,0.6775,,,,,,,1
1727478,0,,,2.7416,,,,,1
1727628,0,,,,,-0.0371,,,1
1727779,0,,,,,,,0.4817,1
1727930,0,,,,,,0.0468,,1
1728081,0,,,,25.6780,,,,1
1728209,0,0.6775,,,,,,,1
1728337,0,,,2.7419,,,,,1
1728465,0,0.6776,,,,,,,1
1728615,0,,,,,-0.0371,,,1
1728766,0,,,,,,,0.4817,1
1728917,0,,,,,,0.0471,,1
1729068,0,,,,25.6780,,,,1
1729196,0,,,2.7422,,,,,1
1729324,0,0.6776,,,,,,,1
1729452,0,,,2.7421,,,,,1
1729602,0,,,,,-0.0371,,,1
1729753,0,,,,,,,0.4817,1
1729904,0,,,,,,0.0471,,1
1730055,0,,,,25.6780,,,,1
1730183,0,0.6776,,,,,,,1
1730311,0,,,2.7425,,,,,1
1730439,0,0.6776,,,,,,,1
1730589,0,,,,,-0.0371,,,1
1730740,0,,,,,,,0.4817,1
1730891,0,,,,,,0.0471,,1
1731042,0,,,,25.6780,,,,1
1731170,0,,,2.7427,,,,,1
1731298,0,0.6776,,,,,,,1
1731426,0,,,2.7426,,,,,1
1731554,0,0.6776,,,,,,,1
1731704,0,,,,,-0.0371,,,1
1731855,0,,,,,,,0.4817,1
1732006,0,,,,,,0.0471,,1
1732157,0,,,,25.6780,,,,1
1732285,0,,,2.7431,,,,,1
1732413,0,0.6776,,,,,,,1
1732541,0,,,2.7431,,,,,1
1732691,0,,,,,-0.0371,,,1
1732842,0,,,,,,,0.4817,1
1732993,0,,,,,,0.0471,,1
1733144,0,,,,25.6780,,,,1
1733272,0,0.6775,,,,,,,1
1733400,0,,,2.7436,,,,,1
1733528,0,0.6776,,,,,,,1
1733678,0,,,,,-0.0371,,,1
1733829,0,,,,,,,0.4817,1
1733980,0,,,,,,0.0471,,1
1734131,0,,,,25.6780,,,,1
1734259,0,,,2.7439,,,,,1
1734387,0,0.6775,,,,,,,1
1734515,0,,,2.7440,,,,,1
1734665,0,,,,,-0.0369,,,1
1734816,0,,,,,,,0.4817,1
1734967,0,,,,,,0.0468,,1
1735118,0,,,,25.6780,,,,1
1735246,0,0.6776,,,,,,,1
1735374,0,,,2.7444,,,,,1
1735502,0,0.6776,,,,,,,1
1735652,0,,,,,-0.0371,,,1
1735803,0,,,,,,,0.4817,1
1735954,0,,,,,,0.0468,,1
1736105,0,,,,25.6780,,,,1
1736233,0,,,2.7444,,,,,1
1736361,0,0.6776,,,,,,,1
1736489,0,,,2.7445,,,,,1
1736639,0,,,,,-0.0371,,,1
1736790,0,,,,,,,0.4817,1
1736941,0,,,,,,0.0471,,1
1737092,0,,,,25.6780,,,,1
1737220,0,0.6776,,,,,,,1
1737348,0,,,2.7449,,,,,1
1737476,0,0.6776,,,,,,,1
1737626,0,,,,,-0.0371,,,1
1737777,0,,,,,,,0.4817,1
1737928,0,,,,,,0.0471,,1
1738079,0,,,,25.6780,,,,1
1738207,0,,,2.7452,,,,,1
1738335,0,0.6776,,,,,,,1
1738463,0,,,2.7452,,,,,1
1738613,0,,,,,-0.0371,,,1
1738764,0,,,,,,,0.4817,1
1738915,0,,,,,,0.0471,,1
1739066,0,,,,25.6780,,,,1
1739194,0,0.6776,,,,,,,1
1739322,0,,,2.7455,,,,,1
1739450,0,0.6775,,,,,,,1
1739600,0,,,,,-0.0371,,,1
1739751,0,,,,,,,0.4817,1
1739902,0,,,,,,0.0471,,1
1740053,0,,,,25.6780,,,,1
1740181,0,,,2.7458,,,,,1
1740309,0,0.6776,,,,,,,1
1740437,0,,,2.7459,,,,,1
1740587,0,,,,,-0.0371,,,1
1740738,0,,,,,,,0.4817,1
1740889,0,,,,,,0.0471,,1
1741040,0,,,,25.6780,,,,1
1741168,0,0.6776,,,,,,,1
1741296,0,,,2.7462,,,,,1
1741425,0,0.6776,,,,,,,1
1741553,0,,,2.7462,,,,,1
1741703,0,,,,,-0.0371,,,1
1741854,0,,,,,,,0.4817,1
1742005,0,,,,,,0.0471,,1
1742156,0,,,,25.6780,,,,1
1742284,0,0.6776,,,,,,,1
1742412,0,,,2.7466,,,,,1
1742540,0,0.6776,,,,,,,1
1742690,0,,,,,-0.0371,,,1
1742841,0,,,,,,,0.4817,1
1742992,0,,,,,,0.0471,,1
1743143,0,,,,25.6780,,,,1
1743271,0,,,2.7467,,,,,1
1743399,0,0.6777,,,,,,,1
1743527,0,,,2.7469,,,,,1
1743678,0,,,,,-0.0371,,,1
1743829,0,,,,,,,0.4817,1
1743980,0,,,,,,0.0468,,1
1744131,0,,,,25.6780,,,,1
1744259,0,0.6776,,,,,,,1
1744387,0,,,2.7473,,,,,1
1744515,0,0.6776,,,,,,,1
1744665,0,,,,,-0.0371,,,1
1744816,0,,,,,,,0.4817,1
1744967,0,,,,,,0.0471,,1
1745118,0,,,,25.6780,,,,1
1745246,0,,,2.7475,,,,,1
1745374,0,0.6776,,,,,,,1
1745502,0,,,2.7476,,,,,1
1745652,0,,,,,-0.0371,,,1
1745803,0,,,,,,,0.4817,1
1745954,0,,,,,,0.0468,,1
1746105,0,,,,25.6810,,,,1
1746233,0,0.6776,,,,,,,1
1746361,0,,,2.7479,,,,,1
1746489,0,0.6776,,,,,,,1
1746639,0,,,,,-0.0371,,,1
1746790,0,,,,,,,0.4817,1
1746941,0,,,,,,0.0468,,1
1747092,0,,,,25.6780,,,,1
1747220,0,,,2.7481,,,,,1
1747348,0,0.6776,,,,,,,1
1747476,0,,,2.7482,,,,,1
1747626,0,,,,,-0.0371,,,1
1747777,0,,,,,,,0.4817,1
1747928,0,,,,,,0.0471,,1
1748079,0,,,,25.6780,,,,1
1748207,0,0.6776,,,,,,,1
1748335,0,,,2.7488,,,,,1
1748463,0,0.6776,,,,,,,1
1748613,0,,,,,-0.0371,,,1
1748764,0,,,,,,,0.4817,1
1748915,0,,,,,,0.0471,,1
1749066,0,,,,25.6810,,,,1
1749194,0,,,2.7491,,,,,1
1749322,0,0.6776,,,,,,,1
1749450,0,,,2.7491,,,,,1
