# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
3815930,0,,,,,,0.0433,,1
3816081,0,,,,25.7754,,,,1
3816209,0,0.6777,,,,,,,1
3816337,0,,,2.7171,,,,,1
3816465,0,0.6777,,,,,,,1
3816615,0,,,,,-0.0412,,,1
3816766,0,,,,,,,0.4770,1
3816917,0,,,,,,0.0430,,1
3817068,0,,,,25.7754,,,,1
3817196,0,,,2.7174,,,,,1
3817324,0,0.6777,,,,,,,1
3817452,0,,,2.7172,,,,,1
3817602,0,,,,,-0.0412,,,1
3817753,0,,,,,,,0.4772,1
3817904,0,,,,,,0.0430,,1
3818055,0,,,,25.7754,,,,1
3818183,0,0.6777,,,,,,,1
3818311,0,,,2.7171,,,,,1
3818439,0,0.6777,,,,,,,1
3818589,0,,,,,-0.0412,,,1
3818740,0,,,,,,,0.4772,1
3818891,0,,,,,,0.0433,,1
3819042,0,,,,25.7754,,,,1
3819170,0,,,2.7172,,,,,1
3819298,0,0.6777,,,,,,,1
3819426,0,,,2.7172,,,,,1
3819554,0,0.6777,,,,,,,1
3819704,0,,,,,-0.0412,,,1
3819855,0,,,,,,,0.4770,1
3820006,0,,,,,,0.0430,,1
3820157,0,,,,25.7754,,,,1
3820285,0,,,2.7174,,,,,1
3820413,0,0.6777,,,,,,,1
3820541,0,,,2.7172,,,,,1
3820691,0,,,,,-0.0412,,,1
3820842,0,,,,,,,0.4772,1
3820993,0,,,,,,0.0430,,1
3821144,0,,,,25.7754,,,,1
3821272,0,0.6777,,,,,,,1
3821400,0,,,2.7174,,,,,1
3821528,0,0.6777,,,,,,,1
3821678,0,,,,,-0.0409,,,1
3821829,0,,,,,,,0.4772,1
3821980,0,,,,,,0.0430,,1
3822131,0,,,,25.7754,,,,1
3822259,0,,,2.7174,,,,,1
3822387,0,0.6777,,,,,,,1
3822515,0,,,2.7172,,,,,1
3822665,0,,,,,-0.0412,,,1
3822816,0,,,,,,,0.4770,1
3822967,0,,,,,,0.0430,,1
3823118,0,,,,25.7754,,,,1
3823246,0,0.6777,,,,,,,1
3823374,0,,,2.7175,,,,,1
3823502,0,0.6777,,,,,,,1
3823652,0,,,,,-0.0412,,,1
