# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
1295150,0,,,,25.6187,,,,1
1295278,0,0.6775,,,,,,,1
1295406,0,,,2.7433,,,,,1
1295534,0,0.6776,,,,,,,1
1295684,0,,,,,-0.0371,,,1
1295835,0,,,,,,,0.4820,1
1295986,0,,,,,,0.0468,,1
1296137,0,,,,25.6187,,,,1
1296265,0,,,2.7437,,,,,1
1296393,0,0.6776,,,,,,,1
1296521,0,,,2.7436,,,,,1
1296672,0,,,,,-0.0371,,,1
1296822,0,,,,,,,0.4820,1
1296973,0,,,,,,0.0468,,1
1297124,0,,,,25.6187,,,,1
1297252,0,0.6775,,,,,,,1
1297380,0,,,2.7439,,,,,1
1297508,0,0.6775,,,,,,,1
1297658,0,,,,,-0.0371,,,1
1297809,0,,,,,,,0.4820,1
1297960,0,,,,,,0.0468,,1
1298111,0,,,,25.6187,,,,1
1298239,0,,,2.7442,,,,,1
1298367,0,0.6776,,,,,,,1
1298495,0,,,2.7441,,,,,1
1298645,0,,,,,-0.0371,,,1
1298796,0,,,,,,,0.4820,1
1298947,0,,,,,,0.0468,,1
1299098,0,,,,25.6187,,,,1
1299226,0,0.6775,,,,,,,1
1299354,0,,,2.7444,,,,,1
1299482,0,0.6776,,,,,,,1
1299632,0,,,,,-0.0371,,,1
1299783,0,,,,,,,0.4820,1
1299934,0,,,,,,0.0468,,1
1300085,0,,,,25.6187,,,,1
1300213,0,,,2.7449,,,,,1
1300341,0,0.6776,,,,,,,1
1300469,0,,,2.7449,,,,,1
1300619,0,,,,,-0.0371,,,1
1300770,0,,,,,,,0.4820,1
1300921,0,,,,,,0.0471,,1
1301072,0,,,,25.6187,,,,1
1301200,0,0.6775,,,,,,,1
1301328,0,,,2.7452,,,,,1
1301456,0,0.6776,,,,,,,1
1301606,0,,,,,-0.0371,,,1
1301757,0,,,,,,,0.4820,1
1301908,0,,,,,,0.0468,,1
1302059,0,,,,25.6187,,,,1
1302187,0,,,2.7455,,,,,1
1302315,0,0.6776,,,,,,,1
1302443,0,,,2.7455,,,,,1
1302593,0,,,,,-0.0371,,,1
1302744,0,,,,,,,0.4820,1
1302895,0,,,,,,0.0468,,1
1303046,0,,,,25.6187,,,,1
1303174,0,0.6776,,,,,,,1
1303302,0,,,2.7460,,,,,1
1303430,0,0.6776,,,,,,,1
1303558,0,,,2.7460,,,,,1
1303708,0,,,,,-0.0371,,,1
1303859,0,,,,,,,0.4820,1
1304010,0,,,,,,0.0468,,1
1304161,0,,,,25.6187,,,,1
1304289,0,0.6776,,,,,,,1
1304417,0,,,2.7461,,,,,1
1304545,0,0.6776,,,,,,,1
1304695,0,,,,,-0.0371,,,1
1304846,0,,,,,,,0.4820,1
1304997,0,,,,,,0.0468,,1
1305148,0,,,,25.6187,,,,1
1305276,0,,,2.7465,,,,,1
1305404,0,0.6775,,,,,,,1
1305532,0,,,2.7465,,,,,1
1305682,0,,,,,-0.0371,,,1
1305833,0,,,,,,,0.4820,1
1305984,0,,,,,,0.0468,,1
