# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
3395735,0,,,,,,,-0.7052,1
3395886,0,,,,,,0.0433,,1
3396037,0,,,,25.7430,,,,1
3396165,0,,,2.7210,,,,,1
3396293,0,0.6779,,,,,,,1
3396421,0,,,2.7211,,,,,1
3396549,0,0.6779,,,,,,,1
3396699,0,,,,,-0.0412,,,1
3396850,0,,,,,,,0.4772,1
3397001,0,,,,,,0.0430,,1
3397152,0,,,,25.7430,,,,1
3397280,0,,,2.7212,,,,,1
3397408,0,0.6779,,,,,,,1
3397536,0,,,2.7210,,,,,1
3397686,0,,,,,-0.0409,,,1
3397837,0,,,,,,,0.4772,1
3397988,0,,,,,,0.0430,,1
3398139,0,,,,25.7430,,,,1
3398267,0,0.6779,,,,,,,1
3398395,0,,,2.7211,,,,,1
3398523,0,0.6779,,,,,,,1
3398673,0,,,,,-0.0409,,,1
3398824,0,,,,,,,0.4772,1
3398975,0,,,,,,0.0430,,1
3399126,0,,,,25.7430,,,,1
3399254,0,,,2.7212,,,,,1
3399382,0,0.6779,,,,,,,1
3399510,0,,,2.7210,,,,,1
3399660,0,,,,,-0.0409,,,1
3399811,0,,,,,,,0.4772,1
3399962,0,,,,,,0.0430,,1
3400113,0,,,,25.7430,,,,1
3400241,0,0.6779,,,,,,,1
3400369,0,,,2.7212,,,,,1
3400497,0,0.6779,,,,,,,1
3400647,0,,,,,-0.0412,,,1
3400798,0,,,,,,,0.4772,1
3400949,0,,,,,,0.0430,,1
3401100,0,,,,25.7430,,,,1
3401228,0,,,2.7214,,,,,1
3401356,0,0.6779,,,,,,,1
3401484,0,,,2.7214,,,,,1
3401634,0,,,,,-0.0409,,,1
3401785,0,,,,,,,0.4772,1
3401936,0,,,,,,0.0430,,1
3402087,0,,,,25.7430,,,,1
3402215,0,0.6779,,,,,,,1
3402343,0,,,2.7216,,,,,1
3402471,0,0.6779,,,,,,,1
3402621,0,,,,,-0.0409,,,1
3402772,0,,,,,,,0.4772,1
3402923,0,,,,,,0.0430,,1
3403074,0,,,,25.7430,,,,1
3403202,0,,,2.7216,,,,,1
3403330,0,0.6779,,,,,,,1
3403458,0,,,2.7216,,,,,1
3403608,0,,,,,-0.0412,,,1
3403759,0,,,,,,,0.4772,1
3403910,0,,,,,,0.0430,,1
3404061,0,,,,25.7430,,,,1
3404189,0,0.6779,,,,,,,1
3404317,0,,,2.7217,,,,,1
3404445,0,0.6779,,,,,,,1
3404595,0,,,,,-0.0409,,,1
3404746,0,,,,,,,0.4772,1
3404897,0,,,,,,0.0430,,1
3405048,0,,,,25.7430,,,,1
3405176,0,,,2.7217,,,,,1
3405304,0,0.6779,,,,,,,1
3405432,0,,,2.7217,,,,,1
3405582,0,,,,,-0.0409,,,1
3405733,0,,,,,,,0.4772,1
3405884,0,,,,,,0.0430,,1
3406035,0,,,,25.7430,,,,1
3406163,0,0.6779,,,,,,,1
3406291,0,,,2.7219,,,,,1
3406419,0,0.6779,,,,,,,1
3406547,0,,,2.7219,,,,,1
3406697,0,,,,,-0.0409,,,1
3406848,0,,,,,,,0.4772,1
3406999,0,,,,,,0.0433,,1
3407150,0,,,,25.7430,,,,1
3407278,0,0.6779,,,,,,,1
3407406,0,,,2.7219,,,,,1
3407534,0,0.6779,,,,,,,1
3407684,0,,,,,-0.0409,,,1
3407835,0,,,,,,,0.4772,1
3407986,0,,,,,,0.0430,,1
3408137,0,,,,25.7430,,,,1
3408265,0,,,2.7221,,,,,1
3408393,0,0.6779,,,,,,,1
3408521,0,,,2.7219,,,,,1
3408671,0,,,,,-0.0409,,,1
3408822,0,,,,,,,0.4772,1
