# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
2555474,0,,,2.7294,,,,,1
2555624,0,,,,,-0.0407,,,1
2555775,0,,,,,,,0.4777,1
2555926,0,,,,,,0.0433,,1
2556077,0,,,,25.7253,,,,1
2556205,0,0.6779,,,,,,,1
2556333,0,,,2.7296,,,,,1
2556461,0,0.6779,,,,,,,1
2556611,0,,,,,-0.0409,,,1
2556762,0,,,,,,,0.4774,1
2556913,0,,,,,,0.0433,,1
2557064,0,,,,25.7253,,,,1
2557192,0,,,2.7296,,,,,1
2557320,0,0.6779,,,,,,,1
2557448,0,,,2.7296,,,,,1
2557598,0,,,,,-0.0409,,,1
2557749,0,,,,,,,0.4774,1
2557900,0,,,,,,0.0433,,1
2558051,0,,,,25.7253,,,,1
2558179,0,0.6779,,,,,,,1
2558307,0,,,2.7296,,,,,1
2558435,0,0.6779,,,,,,,1
2558585,0,,,,,-0.0409,,,1
2558736,0,,,,,,,0.4774,1
2558887,0,,,,,,0.0433,,1
2559038,0,,,,25.7253,,,,1
2559166,0,,,2.7298,,,,,1
2559294,0,0.6779,,,,,,,1
2559422,0,,,2.7299,,,,,1
2559550,0,0.6779,,,,,,,1
2559700,0,,,,,-0.0409,,,1
2559851,0,,,,,,,0.4777,1
2560002,0,,,,,,0.0433,,1
2560153,0,,,,25.7253,,,,1
2560281,0,,,2.7300,,,,,1
2560409,0,0.6779,,,,,,,1
2560537,0,,,2.7299,,,,,1
2560687,0,,,,,-0.0409,,,1
2560838,0,,,,,,,0.4777,1
2560989,0,,,,,,0.0433,,1
2561140,0,,,,25.7253,,,,1
2561268,0,0.6779,,,,,,,1
2561396,0,,,2.7301,,,,,1
2561524,0,0.6779,,,,,,,1
2561674,0,,,,,-0.0409,,,1
2561825,0,,,,,,,0.4777,1
2561976,0,,,,,,0.0433,,1
2562127,0,,,,25.7253,,,,1
2562255,0,,,2.7304,,,,,1
2562383,0,0.6779,,,,,,,1
2562511,0,,,2.7302,,,,,1
2562661,0,,,,,-0.0409,,,1
2562812,0,,,,,,,0.4774,1
2562963,0,,,,,,0.0433,,1
2563114,0,,,,25.7283,,,,1
2563242,0,0.6779,,,,,,,1
2563370,0,,,2.7305,,,,,1
2563498,0,0.6779,,,,,,,1
2563648,0,,,,,-0.0409,,,1
2563799,0,,,,,,,0.4777,1
2563950,0,,,,,,0.0433,,1
2564101,0,,,,25.7253,,,,1
2564229,0,,,2.7306,,,,,1
2564357,0,0.6779,,,,,,,1
2564485,0,,,2.7307,,,,,1
2564635,0,,,,,-0.0409,,,1
2564786,0,,,,,,,0.4777,1
2564937,0,,,,,,0.0433,,1
2565088,0,,,,25.7253,,,,1
2565216,0,0.6779,,,,,,,1
2565344,0,,,2.7309,,,,,1
2565472,0,0.6779,,,,,,,1
2565622,0,,,,,-0.0409,,,1
2565773,0,,,,,,,0.4777,1
2565924,0,,,,,,0.0433,,1
2566075,0,,,,25.7253,,,,1
2566203,0,,,2.7310,,,,,1
2566331,0,0.6779,,,,,,,1
2566459,0,,,2.7310,,,,,1
2566609,0,,,,,-0.0409,,,1
2566760,0,,,,,,,0.4777,1
2566911,0,,,,,,0.0433,,1
2567062,0,,,,25.7283,,,,1
2567190,0,0.6779,,,,,,,1
2567318,0,,,2.7313,,,,,1
2567446,0,0.6779,,,,,,,1
2567596,0,,,,,-0.0409,,,1
2567747,0,,,,,,,0.4777,1
2567898,0,,,,,,0.0433,,1
2568049,0,,,,25.7283,,,,1
2568177,0,,,2.7314,,,,,1
2568305,0,0.6779,,,,,,,1
2568433,0,,,2.7316,,,,,1
2568583,0,,,,,-0.0409,,,1
2568734,0,,,,,,,0.4777,1
2568885,0,,,,,,0.0433,,1
2569036,0,,,,25.7253,,,,1
