# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
2158259,0,0.6777,,,,,,,1
2158387,0,,,2.7394,,,,,1
2158515,0,0.6777,,,,,,,1
2158665,0,,,,,-0.0407,,,1
2158816,0,,,,,,,0.4779,1
2158967,0,,,,,,0.0435,,1
2159118,0,,,,25.7106,,,,1
2159246,0,,,2.7395,,,,,1
2159374,0,0.6777,,,,,,,1
2159502,0,,,2.7395,,,,,1
2159652,0,,,,,-0.0407,,,1
2159803,0,,,,,,,0.4779,1
2159954,0,,,,,,0.0435,,1
2160105,0,,,,25.7106,,,,1
2160233,0,0.6777,,,,,,,1
2160361,0,,,2.7396,,,,,1
2160489,0,0.6777,,,,,,,1
2160639,0,,,,,-0.0407,,,1
2160790,0,,,,,,,0.4779,1
2160941,0,,,,,,0.0435,,1
2161092,0,,,,25.7135,,,,1
2161220,0,,,2.7402,,,,,1
2161348,0,0.6777,,,,,,,1
2161476,0,,,2.7401,,,,,1
2161626,0,,,,,-0.0407,,,1
2161777,0,,,,,,,0.4779,1
2161928,0,,,,,,0.0435,,1
2162079,0,,,,25.7106,,,,1
2162207,0,0.6777,,,,,,,1
2162335,0,,,2.7402,,,,,1
2162463,0,0.6777,,,,,,,1
2162613,0,,,,,-0.0407,,,1
2162764,0,,,,,,,0.4779,1
2162915,0,,,,,,0.0435,,1
2163066,0,,,,25.7106,,,,1
2163194,0,,,2.7408,,,,,1
2163322,0,0.6777,,,,,,,1
2163450,0,,,2.7405,,,,,1
2163600,0,,,,,-0.0407,,,1
2163751,0,,,,,,,0.4779,1
2163903,0,,,,,,0.0435,,1
2164053,0,,,,25.7106,,,,1
2164181,0,0.6777,,,,,,,1
2164309,0,,,2.7408,,,,,1
2164437,0,0.6777,,,,,,,1
2164587,0,,,,,-0.0407,,,1
2164738,0,,,,,,,0.4779,1
2164889,0,,,,,,0.0435,,1
2165040,0,,,,25.7106,,,,1
2165168,0,,,2.7411,,,,,1
2165296,0,0.6777,,,,,,,1
2165424,0,,,2.7410,,,,,1
2165552,0,0.6777,,,,,,,1
2165702,0,,,,,-0.0407,,,1
2165853,0,,,,,,,0.4779,1
2166004,0,,,,,,0.0435,,1
2166155,0,,,,25.7106,,,,1
2166283,0,,,2.7414,,,,,1
2166411,0,0.6777,,,,,,,1
2166539,0,,,2.7414,,,,,1
2166689,0,,,,,-0.0407,,,1
2166840,0,,,,,,,0.4779,1
2166991,0,,,,,,0.0435,,1
2167142,0,,,,25.7106,,,,1
2167270,0,0.6777,,,,,,,1
2167398,0,,,2.7419,,,,,1
2167526,0,0.6777,,,,,,,1
2167676,0,,,,,-0.0407,,,1
2167827,0,,,,,,,0.4779,1
2167978,0,,,,,,0.0435,,1
2168129,0,,,,25.7106,,,,1
2168257,0,,,2.7421,,,,,1
2168385,0,0.6777,,,,,,,1
2168513,0,,,2.7420,,,,,1
2168663,0,,,,,-0.0407,,,1
2168814,0,,,,,,,0.4779,1
2168965,0,,,,,,0.0435,,1
2169116,0,,,,25.7106,,,,1
2169244,0,0.6777,,,,,,,1
2169372,0,,,2.7424,,,,,1
2169500,0,0.6777,,,,,,,1
2169650,0,,,,,-0.0407,,,1
2169801,0,,,,,,,0.4779,1
2169952,0,,,,,,0.0435,,1
2170103,0,,,,25.7135,,,,1
2170231,0,,,2.7427,,,,,1
2170359,0,0.6777,,,,,,,1
2170487,0,,,2.7426,,,,,1
2170637,0,,,,,-0.0407,,,1
2170788,0,,,,,,,0.4779,1
2170939,0,,,,,,0.0435,,1
2171090,0,,,,25.7106,,,,1
2171218,0,0.6777,,,,,,,1
2171346,0,,,2.7429,,,,,1
2171474,0,0.6777,,,,,,,1
2171624,0,,,,,-0.0407,,,1
2171775,0,,,,,,,0.4779,1
2171926,0,,,,,,0.0435,,1
2172077,0,,,,25.7106,,,,1
2172205,0,,,2.7433,,,,,1
2172333,0,0.6777,,,,,,,1
2172461,0,,,2.7433,,,,,1
2172611,0,,,,,-0.0407,,,1
2172762,0,,,,,,,0.4779,1
2172913,0,,,,,,0.0435,,1
2173064,0,,,,25.7106,,,,1
2173192,0,0.6777,,,,,,,1
2173320,0,,,2.7435,,,,,1
2173448,0,0.6777,,,,,,,1
2173598,0,,,,,-0.0407,,,1
2173749,0,,,,,,,0.4779,1
2173900,0,,,,,,0.0435,,1
2174051,0,,,,25.7106,,,,1
2174179,0,,,2.7440,,,,,1
2174307,0,0.6777,,,,,,,1
2174435,0,,,2.7440,,,,,1
2174585,0,,,,,-0.0407,,,1
2174736,0,,,,,,,0.4779,1
2174887,0,,,,,,0.0435,,1
2175038,0,,,,25.7106,,,,1
2175166,0,0.6777,,,,,,,1
2175294,0,,,2.7442,,,,,1
2175422,0,0.6777,,,,,,,1
2175550,0,,,2.7442,,,,,1
2175700,0,,,,,-0.0407,,,1
2175851,0,,,,,,,0.4779,1
2176002,0,,,,,,0.0435,,1
2176153,0,,,,25.7106,,,,1
2176281,0,0.6777,,,,,,,1
2176409,0,,,2.7445,,,,,1
2176537,0,0.6777,,,,,,,1
2176687,0,,,,,-0.0405,,,1
2176838,0,,,,,,,0.4779,1
2176989,0,,,,,,0.0435,,1
2177140,0,,,,25.7135,,,,1
2177268,0,,,2.7449,,,,,1
2177396,0,0.6777,,,,,,,1
2177524,0,,,2.7448,,,,,1
2177674,0,,,,,-0.0407,,,1
2177825,0,,,,,,,0.4779,1
2177976,0,,,,,,0.0435,,1
2178127,0,,,,25.7135,,,,1
2178255,0,0.6777,,,,,,,1
2178383,0,,,2.7451,,,,,1
2178511,0,0.6777,,,,,,,1
2178661,0,,,,,-0.0407,,,1
2178812,0,,,,,,,0.4779,1
2178963,0,,,,,,0.0435,,1
2179114,0,,,,25.7135,,,,1
2179242,0,,,2.7455,,,,,1
2179370,0,0.6777,,,,,,,1
2179498,0,,,2.7455,,,,,1
2179648,0,,,,,-0.0407,,,1
2179799,0,,,,,,,0.4779,1
2179950,0,,,,,,0.0435,,1
2180101,0,,,,25.7135,,,,1
2180229,0,0.6777,,,,,,,1
2180357,0,,,2.7459,,,,,1
