# Time[ms],Looppar,Vdiode[V],Vled[V],Vscat[V],Temperature[C],Ix[A],Iy[A],Iz[A],LED_type
2975668,0,,,,,-0.0407,,,1
2975819,0,,,,,,,0.4234,1
2975970,0,,,,,,0.0433,,1
2976121,0,,,,25.7312,,,,1
2976249,0,,,2.7249,,,,,1
2976377,0,0.6779,,,,,,,1
2976505,0,,,2.7249,,,,,1
2976655,0,,,,,-0.0409,,,1
2976806,0,,,,,,,0.4774,1
2976957,0,,,,,,0.0433,,1
2977108,0,,,,25.7312,,,,1
2977236,0,0.6779,,,,,,,1
2977364,0,,,2.7249,,,,,1
2977492,0,0.6779,,,,,,,1
2977642,0,,,,,-0.0409,,,1
2977793,0,,,,,,,0.4774,1
2977944,0,,,,,,0.0433,,1
2978095,0,,,,25.7312,,,,1
2978223,0,,,2.7251,,,,,1
2978351,0,0.6779,,,,,,,1
2978479,0,,,2.7250,,,,,1
2978629,0,,,,,-0.0409,,,1
2978780,0,,,,,,,0.4774,1
2978931,0,,,,,,0.0433,,1
2979082,0,,,,25.7312,,,,1
2979210,0,0.6779,,,,,,,1
2979338,0,,,2.7250,,,,,1
2979466,0,0.6779,,,,,,,1
2979616,0,,,,,-0.0409,,,1
2979767,0,,,,,,,0.4774,1
2979918,0,,,,,,0.0433,,1
2980069,0,,,,25.7312,,,,1
2980197,0,,,2.7252,,,,,1
2980325,0,0.6779,,,,,,,1
2980453,0,,,2.7251,,,,,1
2980603,0,,,,,-0.0409,,,1
2980754,0,,,,,,,0.4774,1
2980905,0,,,,,,0.0433,,1
2981056,0,,,,25.7312,,,,1
2981184,0,0.6779,,,,,,,1
2981312,0,,,2.7252,,,,,1
2981440,0,0.6779,,,,,,,1
2981590,0,,,,,-0.0409,,,1
2981741,0,,,,,,,0.4774,1
2981892,0,,,,,,0.0433,,1
2982043,0,,,,25.7312,,,,1
2982171,0,,,2.7256,,,,,1
2982299,0,0.6779,,,,,,,1
2982427,0,,,2.7254,,,,,1
2982555,0,0.6779,,,,,,,1
2982705,0,,,,,-0.0409,,,1
2982856,0,,,,,,,0.4774,1
2983007,0,,,,,,0.0433,,1
2983158,0,,,,25.7312,,,,1
2983286,0,,,2.7258,,,,,1
2983414,0,0.6779,,,,,,,1
2983542,0,,,2.7258,,,,,1
2983692,0,,,,,-0.0409,,,1
2983843,0,,,,,,,0.4774,1
2983994,0,,,,,,0.0433,,1
2984145,0,,,,25.7312,,,,1
2984273,0,0.6780,,,,,,,1
2984401,0,,,2.7261,,,,,1
2984529,0,0.6779,,,,,,,1
2984679,0,,,,,-0.0409,,,1
2984830,0,,,,,,,0.4774,1
2984981,0,,,,,,0.0433,,1
2985132,0,,,,25.7312,,,,1
2985260,0,,,2.7262,,,,,1
2985388,0,0.6779,,,,,,,1
2985516,0,,,2.7260,,,,,1
2985666,0,,,,,-0.0409,,,1
2985817,0,,,,,,,0.4774,1
2985968,0,,,,,,0.0433,,1
2986119,0,,,,25.7312,,,,1
2986247,0,0.6780,,,,,,,1
2986375,0,,,2.7264,,,,,1
2986503,0,0.6779,,,,,,,1
2986653,0,,,,,-0.0409,,,1
2986804,0,,,,,,,0.4774,1
2986955,0,,,,,,0.0433,,1
2987106,0,,,,25.7312,,,,1
2987234,0,,,2.7265,,,,,1
2987362,0,0.6779,,,,,,,1
2987490,0,,,2.7265,,,,,1
2987640,0,,,,,-0.0409,,,1
2987791,0,,,,,,,0.4774,1
2987942,0,,,,,,0.0433,,1
2988093,0,,,,25.7312,,,,1
2988221,0,0.6779,,,,,,,1
2988349,0,,,2.7266,,,,,1
2988477,0,0.6779,,,,,,,1
2988627,0,,,,,-0.0409,,,1
2988778,0,,,,,,,0.4774,1
2988929,0,,,,,,0.0433,,1
2989080,0,,,,25.7312,,,,1
2989208,0,,,2.7267,,,,,1
2989336,0,0.6779,,,,,,,1
2989464,0,,,2.7266,,,,,1
2989614,0,,,,,-0.0409,,,1
2989765,0,,,,,,,0.4774,1
2989916,0,,,,,,0.0433,,1
2990067,0,,,,25.7312,,,,1
2990195,0,0.6779,,,,,,,1
2990323,0,,,2.7267,,,,,1
2990451,0,0.6779,,,,,,,1
2990601,0,,,,,-0.0409,,,1
2990752,0,,,,,,,0.4774,1
2990903,0,,,,,,0.0433,,1
2991054,0,,,,25.7312,,,,1
2991182,0,,,2.7269,,,,,1
2991310,0,0.6779,,,,,,,1
2991438,0,,,2.7270,,,,,1
2991588,0,,,,,-0.0409,,,1
2991739,0,,,,,,,0.4774,1
2991890,0,,,,,,0.0433,,1
2992041,0,,,,25.7312,,,,1
2992169,0,0.6780,,,,,,,1
2992297,0,,,2.7271,,,,,1
2992425,0,0.6779,,,,,,,1
2992553,0,,,2.7273,,,,,1
2992703,0,,,,,-0.0409,,,1
2992854,0,,,,,,,0.4774,1
2993005,0,,,,,,0.0433,,1
2993156,0,,,,25.7312,,,,1
2993284,0,0.6779,,,,,,,1
2993412,0,,,2.7273,,,,,1
2993540,0,0.6779,,,,,,,1
2993690,0,,,,,-0.0409,,,1
2993841,0,,,,,,,0.4774,1
2993992,0,,,,,,0.0433,,1
2994143,0,,,,25.7312,,,,1
2994271,0,,,2.7275,,,,,1
2994399,0,0.6779,,,,,,,1
2994527,0,,,2.7274,,,,,1
2994677,0,,,,,-0.0409,,,1
2994828,0,,,,,,,0.4774,1
2994979,0,,,,,,0.0433,,1
2995130,0,,,,25.7342,,,,1
2995258,0,0.6779,,,,,,,1
2995386,0,,,2.7274,,,,,1
2995514,0,0.6779,,,,,,,1
2995664,0,,,,,-0.0409,,,1
2995815,0,,,,,,,0.4774,1
2995966,0,,,,,,0.0433,,1
2996117,0,,,,25.7312,,,,1
2996245,0,,,2.7276,,,,,1
2996373,0,0.6779,,,,,,,1
2996501,0,,,2.7276,,,,,1
2996651,0,,,,,-0.0409,,,1
2996802,0,,,,,,,0.4774,1
2996953,0,,,,,,0.0433,,1
2997104,0,,,,25.7342,,,,1
2997232,0,0.6780,,,,,,,1
2997360,0,,,2.7279,,,,,1
2997488,0,0.6779,,,,,,,1
2997638,0,,,,,-0.0409,,,1
2997789,0,,,,,,,0.4774,1
2997940,0,,,,,,0.0433,,1
2998091,0,,,,25.7312,,,,1
2998219,0,,,2.7281,,,,,1
2998347,0,0.6779,,,,,,,1
2998475,0,,,2.7280,,,,,1
2998625,0,,,,,-0.0409,,,1
2998776,0,,,,,,,0.4774,1
2998927,0,,,,,,0.0433,,1
2999078,0,,,,25.7312,,,,1
2999206,0,0.6779,,,,,,,1
2999334,0,,,2.7280,,,,,1
2999462,0,0.6779,,,,,,,1
2999612,0,,,,,-0.0409,,,1
2999763,0,,,,,,,0.4774,1
2999914,0,,,,,,0.0433,,1
3000065,0,,,,25.7312,,,,1
3000193,0,,,2.7282,,,,,1
3000321,0,0.6779,,,,,,,1
3000449,0,,,2.7281,,,,,1
3000599,0,,,,,-0.0409,,,1
3000750,0,,,,,,,0.4774,1
3000901,0,,,,,,0.0433,,1
3001052,0,,,,25.7312,,,,1
3001180,0,0.6779,,,,,,,1
3001308,0,,,2.7285,,,,,1
3001436,0,0.6779,,,,,,,1
3001586,0,,,,,-0.0409,,,1
3001737,0,,,,,,,0.4774,1
3001888,0,,,,,,0.0433,,1
3002039,0,,,,25.7312,,,,1
3002167,0,,,2.7286,,,,,1
3002295,0,0.6779,,,,,,,1
3002423,0,,,2.7285,,,,,1
3002551,0,0.6779,,,,,,,1
3002701,0,,,,,-0.0409,,,1
3002852,0,,,,,,,0.4774,1
3003003,0,,,,,,0.0433,,1
3003154,0,,,,25.7342,,,,1
3003282,0,,,2.7288,,,,,1
3003410,0,0.6780,,,,,,,1
3003538,0,,,2.7289,,,,,1
3003688,0,,,,,-0.0409,,,1
3003839,0,,,,,,,0.4774,1
3003990,0,,,,,,0.0433,,1
3004141,0,,,,25.7312,,,,1
3004269,0,0.6779,,,,,,,1
3004397,0,,,2.7288,,,,,1
3004525,0,0.6779,,,,,,,1
3004675,0,,,,,-0.0409,,,1
3004826,0,,,,,,,0.4774,1
3004977,0,,,,,,0.0433,,1
3005128,0,,,,25.7312,,,,1
